Measurement E9M1
Title: E-89-037 Electroproduction of the P33(1232) Resonance
Spokespersons: V. Burkert, R. Minehart
Year: 2002
Q^2 range: 0.35 - 0.45
E_beam is not available
Data:
W	epsilon	cos(theta_pi)	phi_pi	dsigma/dOmega	Data errors	Systematic errors
GeV	dimensionless	dimensionless	deg	mcbn/srad	mcbn/srad	mcbn/srad
1.26	0.669	-0.1	285	3.95	0.737	0.3283
1.26	0.669	-0.1	315	3.26	0.649	0.2087
1.26	0.669	-0.1	345	2.17	0.453	0.4401
1.26	0.669	0.1	15	3.07	0.623	0.1077
1.26	0.669	0.1	45	3.53	0.748	0.2277
1.26	0.669	0.1	75	4.88	0.955	0.7863
1.26	0.669	0.1	105	6.25	1.42	0.8116
1.26	0.669	0.1	135	2.76	0.702	0.1913
1.26	0.669	0.1	165	2.12	0.473	0.3998
1.26	0.669	0.1	195	3.37	0.772	0.5608
1.26	0.669	0.1	225	2.26	0.651	0.3791
1.26	0.669	0.1	255	4.3	0.984	0.2356
1.26	0.669	0.1	285	4.12	0.717	0.4555
1.26	0.669	0.1	315	5.05	0.984	0.5803
1.26	0.669	0.1	345	2.98	0.61	0.169
1.26	0.669	0.3	15	1.87	0.427	0.0787
1.26	0.669	0.3	45	3.45	0.755	0.1699
1.26	0.669	0.3	75	4.46	0.945	0.2598
1.26	0.669	0.3	105	6.17	1.36	0.4133
1.26	0.669	0.3	135	3.56	0.877	0.5202
1.26	0.669	0.3	165	3.71	0.835	0.3017
1.26	0.669	0.3	195	2.18	0.503	0.4849
1.26	0.669	0.3	225	4.68	1.1	0.6377
1.26	0.669	0.3	255	8.81	1.76	2.5423
1.26	0.669	0.3	285	3.47	0.674	0.5834
1.26	0.669	0.3	315	2.2	0.492	0.0482
1.26	0.669	0.3	345	2.45	0.51	0.4658
1.26	0.669	0.5	15	1.5	0.347	0.2855
1.26	0.669	0.5	45	3.22	0.71	0.1621
1.26	0.669	0.5	75	2.4	0.572	0.9097
1.26	0.669	0.5	105	5.6	1.11	1.0391
1.26	0.669	0.5	135	2.72	0.692	0.2033
1.26	0.669	0.5	165	2.73	0.636	0.4948
1.26	0.669	0.5	195	2.12	0.526	0.3489
1.26	0.669	0.5	225	3.19	0.776	0.5217
1.26	0.669	0.5	255	4.85	1.1	0.3163
1.26	0.669	0.5	285	4.5	0.986	0.6876
1.26	0.669	0.5	315	2.47	0.589	0.0324
1.26	0.669	0.5	345	1.91	0.496	0.4323
1.26	0.669	0.7	15	1.52	0.391	0.2329
1.26	0.669	0.7	45	1.27	0.356	0.2682
1.26	0.669	0.7	75	3.2	0.71	0.2108
1.26	0.669	0.7	105	3.54	0.871	0.5865
1.26	0.669	0.7	135	1.41	0.425	0.1539
1.26	0.669	0.7	165	2.82	0.691	0.4283
1.26	0.669	0.7	195	2.76	0.66	0.5933
1.26	0.669	0.7	225	3.36	0.905	0.2966
1.26	0.669	0.7	255	3.51	0.859	0.363
1.26	0.669	0.7	285	3.92	1	0.8624
1.26	0.669	0.7	315	2.04	0.515	0.3533
1.26	0.669	0.7	345	1.75	0.465	0.2574
1.26	0.669	0.9	15	0.705	0.264	0.0667
1.26	0.669	0.9	45	1.91	0.662	0.1914
1.26	0.669	0.9	75	2.08	0.672	0.1116
1.26	0.669	0.9	105	3.48	1.29	0.525
1.26	0.669	0.9	135	3.02	0.863	0.4899
1.26	0.669	0.9	165	3.2	1.05	0.7036
1.26	0.669	0.9	195	1.53	0.482	0.5157
1.26	0.669	0.9	225	2.97	1.03	0.5963
1.26	0.669	0.9	255	2.36	0.705	0.3124
1.26	0.669	0.9	285	1.56	0.516	0.0999
1.26	0.669	0.9	315	1.51	0.491	0.2946
1.26	0.669	0.9	345	1.57	0.458	0.2147
Measurement E9M40
Title: E-89-037 Electroproduction of the P33(1232) Resonance
Spokespersons: V. Burkert, R. Minehart
Year: 2002
Q^2 range: 1.3 - 1.6
E_beam is not available
Data:
W	epsilon	cos(theta_pi)	phi_pi	dsigma/dOmega	Data errors	Systematic errors
GeV	dimensionless	dimensionless	deg	mcbn/srad	mcbn/srad	mcbn/srad
1.28	0.659	-0.9	15	2.58	0.868	0.3504
1.28	0.659	-0.9	45	1.41	0.453	0.1345
1.28	0.659	-0.9	75	1.12	0.41	0.1781
1.28	0.659	-0.9	105	1.12	0.379	0.2779
1.28	0.659	-0.9	135	1.87	0.63	0.2414
1.28	0.659	-0.9	165	1.5	0.548	0.2533
1.28	0.659	-0.9	195	0.465	0.188	0.1701
1.28	0.659	-0.9	225	0.814	0.279	0.1649
1.28	0.659	-0.9	255	1.86	0.536	0.0907
1.28	0.659	-0.9	285	2.03	0.653	0.3876
1.28	0.659	-0.9	315	1.31	0.401	0.3398
1.28	0.659	-0.9	345	1	0.32	0.1865
1.28	0.659	-0.7	15	2.26	0.59	0.3748
1.28	0.659	-0.7	45	1.31	0.341	0.0783
1.28	0.659	-0.7	75	2.65	0.62	1.3255
1.28	0.659	-0.7	105	1.79	0.539	0.6918
1.28	0.659	-0.7	135	2.3	0.734	0.5579
1.28	0.659	-0.7	165	0.657	0.247	0.1646
1.28	0.659	-0.7	195	0.418	0.164	0.2389
1.28	0.659	-0.7	225	1.02	0.321	0.3858
1.28	0.659	-0.7	255	2.01	0.49	0.2715
1.28	0.659	-0.7	285	2.06	0.599	0.4294
1.28	0.659	-0.7	315	1.57	0.378	0.1457
1.28	0.659	-0.7	345	1.29	0.363	0.2393
1.28	0.659	-0.5	15	1.2	0.287	0.1774
1.28	0.659	-0.5	45	1.77	0.432	0.1818
1.28	0.659	-0.5	75	2.2	0.502	0.4032
1.28	0.659	-0.5	105	2.43	0.617	0.2801
1.28	0.659	-0.5	135	2.38	0.669	0.265
1.28	0.659	-0.5	165	1.58	0.503	0.1837
1.28	0.659	-0.5	195	1.43	0.39	0.4679
1.28	0.659	-0.5	225	1.04	0.347	0.1138
1.28	0.659	-0.5	255	1.82	0.464	0.3896
1.28	0.659	-0.5	285	1.81	0.444	0.1115
1.28	0.659	-0.5	315	1.5	0.39	0.1815
1.28	0.659	-0.5	345	1.33	0.316	0.3329
1.28	0.659	-0.3	15	1.84	0.406	0.0907
1.28	0.659	-0.3	45	3.39	0.683	0.4222
1.28	0.659	-0.3	75	5.58	1.12	0.7365
1.28	0.659	-0.3	105	4.15	0.927	0.4004
1.28	0.659	-0.3	135	2.22	0.689	0.7108
1.28	0.659	-0.3	165	1.32	0.348	0.426
1.28	0.659	-0.3	195	1.59	0.493	0.2169
1.28	0.659	-0.3	225	1.4	0.421	0.3648
1.28	0.659	-0.3	255	3.85	0.876	0.4065
1.28	0.659	-0.3	285	3.64	0.932	0.8991
1.28	0.659	-0.3	315	3.11	0.626	0.1849
1.28	0.659	-0.3	345	1.45	0.337	0.2453
1.28	0.659	-0.1	15	1.51	0.358	0.0955
1.28	0.659	-0.1	45	1.72	0.384	0.035
1.28	0.659	-0.1	75	2.71	0.71	0.1273
1.28	0.659	-0.1	105	2.83	0.66	0.3017
1.28	0.659	-0.1	135	5.98	1.47	0.9566
1.28	0.659	-0.1	165	2.56	0.781	0.6748
1.28	0.659	-0.1	195	1.27	0.357	0.3457
1.28	0.659	-0.1	225	2.81	0.84	0.3202
1.28	0.659	-0.1	255	3.29	0.817	0.1564
1.28	0.659	-0.1	285	6.57	1.43	0.5784
1.28	0.659	-0.1	315	2.66	0.592	0.295
1.28	0.659	-0.1	345	1.37	0.309	0.1409
1.28	0.659	0.1	15	2.93	0.658	0.56
1.28	0.659	0.1	45	2.16	0.439	0.5557
1.28	0.659	0.1	75	3.29	0.714	0.3494
1.28	0.659	0.1	105	4.4	1.01	0.5695
1.28	0.659	0.1	135	3.87	1.2	0.8236
1.28	0.659	0.1	165	1.86	0.489	0.2956
1.28	0.659	0.1	195	4.09	1.07	1.0281
1.28	0.659	0.1	225	1.99	0.558	0.1119
1.28	0.659	0.1	255	3.71	0.939	0.6574
1.28	0.659	0.1	285	2.96	0.61	0.2178
1.28	0.659	0.1	315	1.78	0.406	0.4604
1.28	0.659	0.1	345	2.26	0.441	0.0626
1.28	0.659	0.3	15	2.11	0.431	0.7094
1.28	0.659	0.3	45	1.69	0.425	0.0696
1.28	0.659	0.3	75	2.87	0.642	0.1258
1.28	0.659	0.3	105	3.29	0.782	1.3476
1.28	0.659	0.3	135	1.93	0.583	0.194
1.28	0.659	0.3	165	3.01	0.761	0.4282
1.28	0.659	0.3	195	0.898	0.278	0.199
1.28	0.659	0.3	225	2.39	0.744	0.2977
1.28	0.659	0.3	255	1.86	0.527	0.2754
1.28	0.659	0.3	285	3.02	0.743	0.3437
1.28	0.659	0.3	315	2.43	0.553	0.1443
1.28	0.659	0.3	345	1.56	0.337	0.6281
1.28	0.659	0.5	15	1.33	0.336	0.3158
1.28	0.659	0.5	45	1.58	0.386	0.2033
1.28	0.659	0.5	75	2.79	0.656	0.2514
1.28	0.659	0.5	105	3.51	0.96	0.3659
1.28	0.659	0.5	135	6.16	2.11	1.0899
1.28	0.659	0.5	165	1.97	0.63	0.111
1.28	0.659	0.5	195	1.13	0.375	0.3581
1.28	0.659	0.5	225	3.89	1.29	1.0091
1.28	0.659	0.5	255	2.45	0.625	0.269
1.28	0.659	0.5	285	3.17	0.724	0.2177
1.28	0.659	0.5	315	1.84	0.448	0.2062
1.28	0.659	0.5	345	1.07	0.264	0.0945
1.28	0.659	0.7	15	1.14	0.333	0.2025
1.28	0.659	0.7	45	1.18	0.325	0.2199
1.28	0.659	0.7	75	2.95	0.76	0.3375
1.28	0.659	0.7	105	1.86	0.515	0.6662
1.28	0.659	0.7	135	0.95	0.327	0.5883
1.28	0.659	0.7	165	3.11	0.859	0.3291
1.28	0.659	0.7	195	2.14	0.615	0.4616
1.28	0.659	0.7	225	4.26	1.37	1.2238
1.28	0.659	0.7	255	3.12	0.835	0.5217
1.28	0.659	0.7	285	2.36	0.626	0.6564
1.28	0.659	0.7	315	2.01	0.565	0.3096
1.28	0.659	0.7	345	0.928	0.303	0.1106
1.28	0.659	0.9	15	0.907	0.354	0.2427
1.28	0.659	0.9	45	0.408	0.177	0.3262
1.28	0.659	0.9	75	2.27	0.818	0.8089
1.28	0.659	0.9	105	1.37	0.455	0.4713
1.28	0.659	0.9	135	3.23	1.15	0.586
1.28	0.659	0.9	165	2.32	0.813	0.4712
1.28	0.659	0.9	195	1.93	0.585	0.2351
1.28	0.659	0.9	225	2.57	0.848	0.6433
1.28	0.659	0.9	255	1.51	0.46	0.7552
1.28	0.659	0.9	285	2.69	0.921	0.4427
1.28	0.659	0.9	315	1.56	0.588	0.231
1.28	0.659	0.9	345	1.62	0.568	0.216
Measurement E9M41
Title: E-89-037 Electroproduction of the P33(1232) Resonance
Spokespersons: V. Burkert, R. Minehart
Year: 2002
Q^2 range: 1.3 - 1.6
E_beam is not available
Data:
W	epsilon	cos(theta_pi)	phi_pi	dsigma/dOmega	Data errors	Systematic errors
GeV	dimensionless	dimensionless	deg	mcbn/srad	mcbn/srad	mcbn/srad
1.3	0.648	-0.9	15	1.25	0.437	0.2019
1.3	0.648	-0.9	45	1.12	0.514	0.1848
1.3	0.648	-0.9	75	1.15	0.401	0.2678
1.3	0.648	-0.9	105	1.35	0.476	0.5027
1.3	0.648	-0.9	135	0.223	0.11	0.1378
1.3	0.648	-0.9	165	0.321	0.151	0.221
1.3	0.648	-0.9	195	0.445	0.253	0.1475
1.3	0.648	-0.9	225	0.833	0.325	0.2346
1.3	0.648	-0.9	255	1.27	0.472	0.3868
1.3	0.648	-0.9	285	1.79	0.534	0.1225
1.3	0.648	-0.9	315	0.547	0.204	0.0791
1.3	0.648	-0.9	345	0.24	0.0935	0.1036
1.3	0.648	-0.7	15	1.69	0.461	0.3646
1.3	0.648	-0.7	45	1.22	0.36	0.1956
1.3	0.648	-0.7	75	1.56	0.418	0.085
1.3	0.648	-0.7	105	1.77	0.593	0.31
1.3	0.648	-0.7	135	1.17	0.41	0.3129
1.3	0.648	-0.7	165	1.11	0.346	0.2299
1.3	0.648	-0.7	195	1.04	0.332	0.3488
1.3	0.648	-0.7	225	0.693	0.244	0.2304
1.3	0.648	-0.7	255	3.31	0.983	0.4886
1.3	0.648	-0.7	285	1.62	0.512	0.1603
1.3	0.648	-0.7	315	0.829	0.259	0.2809
1.3	0.648	-0.7	345	0.714	0.23	0.0897
1.3	0.648	-0.5	15	1.11	0.328	0.2551
1.3	0.648	-0.5	45	1.75	0.422	0.1955
1.3	0.648	-0.5	75	2.7	0.678	0.6483
1.3	0.648	-0.5	105	1.54	0.439	0.1259
1.3	0.648	-0.5	135	2	0.66	0.4842
1.3	0.648	-0.5	165	1.37	0.461	0.3341
1.3	0.648	-0.5	195	0.992	0.382	0.114
1.3	0.648	-0.5	225	1.81	0.581	0.1497
1.3	0.648	-0.5	255	2.92	0.742	0.1846
1.3	0.648	-0.5	285	1.58	0.417	0.4853
1.3	0.648	-0.5	315	1.32	0.368	0.1391
1.3	0.648	-0.5	345	1.5	0.435	0.314
1.3	0.648	-0.3	15	1.09	0.325	0.0283
1.3	0.648	-0.3	45	1.92	0.454	0.3426
1.3	0.648	-0.3	75	3.71	0.84	0.2016
1.3	0.648	-0.3	105	2.52	0.674	0.2612
1.3	0.648	-0.3	135	1.3	0.369	0.6734
1.3	0.648	-0.3	165	1.52	0.602	0.2344
1.3	0.648	-0.3	195	1.39	0.426	0.3953
1.3	0.648	-0.3	225	2.73	0.855	0.6416
1.3	0.648	-0.3	255	3.1	0.784	0.5671
1.3	0.648	-0.3	285	4.18	1	1.1365
1.3	0.648	-0.3	315	1.94	0.44	0.2363
1.3	0.648	-0.3	345	1.42	0.355	0.085
1.3	0.648	-0.1	15	1.35	0.336	0.0814
1.3	0.648	-0.1	45	1.45	0.355	0.2866
1.3	0.648	-0.1	75	3.44	0.831	0.3409
1.3	0.648	-0.1	105	2.12	0.653	0.2166
1.3	0.648	-0.1	135	1.41	0.434	0.5517
1.3	0.648	-0.1	165	2.32	0.901	0.6428
1.3	0.648	-0.1	195	1.27	0.411	0.4448
1.3	0.648	-0.1	225	1.51	0.695	0.433
1.3	0.648	-0.1	255	2.52	0.665	0.2558
1.3	0.648	-0.1	285	3.18	0.716	0.3211
1.3	0.648	-0.1	315	2.22	0.506	0.3313
1.3	0.648	-0.1	345	1.03	0.275	0.0984
1.3	0.648	0.1	15	2.58	0.571	0.3559
1.3	0.648	0.1	45	2.23	0.575	0.2348
1.3	0.648	0.1	75	1.75	0.435	0.0505
1.3	0.648	0.1	105	4.43	1.04	0.9057
1.3	0.648	0.1	135	2.96	0.841	0.5299
1.3	0.648	0.1	165	1.63	0.551	0.4145
1.3	0.648	0.1	195	2.58	0.793	0.4216
1.3	0.648	0.1	225	1.84	0.685	0.2941
1.3	0.648	0.1	255	3.57	0.909	0.4619
1.3	0.648	0.1	285	2.87	0.671	0.4204
1.3	0.648	0.1	315	2.12	0.465	0.135
1.3	0.648	0.1	345	1.13	0.306	0.1529
1.3	0.648	0.3	15	1.25	0.317	0.1254
1.3	0.648	0.3	45	1.53	0.412	0.2386
1.3	0.648	0.3	75	2.63	0.619	0.2523
1.3	0.648	0.3	105	2.08	0.607	0.9707
1.3	0.648	0.3	135	3.74	1.28	0.2161
1.3	0.648	0.3	165	1.31	0.512	0.2242
1.3	0.648	0.3	195	2.71	0.907	0.4705
1.3	0.648	0.3	225	2.19	0.736	0.415
1.3	0.648	0.3	255	4.11	1.12	0.8618
1.3	0.648	0.3	285	3.15	0.746	0.653
1.3	0.648	0.3	315	1.8	0.494	0.1404
1.3	0.648	0.3	345	0.779	0.217	0.2419
1.3	0.648	0.5	15	0.892	0.287	0.1206
1.3	0.648	0.5	45	3.61	0.895	0.742
1.3	0.648	0.5	75	1.6	0.436	0.325
1.3	0.648	0.5	105	2.83	0.836	0.3881
1.3	0.648	0.5	135	5.27	2.05	1.2839
1.3	0.648	0.5	165	1.43	0.474	0.5137
1.3	0.648	0.5	195	1.64	0.546	0.128
1.3	0.648	0.5	225	1.39	0.503	0.6914
1.3	0.648	0.5	255	2.62	0.718	0.2526
1.3	0.648	0.5	285	2.73	0.719	0.3374
1.3	0.648	0.5	315	1.43	0.4	0.1901
1.3	0.648	0.5	345	0.776	0.203	0.2931
1.3	0.648	0.7	15	0.515	0.176	0.4175
1.3	0.648	0.7	45	1.35	0.385	0.2072
1.3	0.648	0.7	75	1.45	0.425	0.1933
1.3	0.648	0.7	105	2.62	0.853	0.5515
1.3	0.648	0.7	135	3.15	1.01	0.3476
1.3	0.648	0.7	165	1.7	0.628	0.8741
1.3	0.648	0.7	195	0.531	0.19	0.1431
1.3	0.648	0.7	225	0.886	0.425	0.375
1.3	0.648	0.7	255	0.994	0.335	0.2787
1.3	0.648	0.7	285	1.54	0.449	0.1129
1.3	0.648	0.7	315	1.22	0.344	0.31
1.3	0.648	0.7	345	0.809	0.25	0.2484
1.3	0.648	0.9	15	0.378	0.164	0.0506
1.3	0.648	0.9	45	1.05	0.438	0.1343
1.3	0.648	0.9	75	0.573	0.31	0.183
1.3	0.648	0.9	105	1.27	0.575	0.6923
1.3	0.648	0.9	135	1.45	0.625	0.439
1.3	0.648	0.9	165	1.84	0.622	0.4085
1.3	0.648	0.9	195	0.687	0.273	0.4602
1.3	0.648	0.9	225	1.22	0.529	0.3688
1.3	0.648	0.9	255	1.82	0.703	0.3477
1.3	0.648	0.9	285	1.05	0.445	0.2221
1.3	0.648	0.9	315	0.521	0.252	0.2068
1.3	0.648	0.9	345	0.873	0.368	0.217
Measurement E9M42
Title: E-89-037 Electroproduction of the P33(1232) Resonance
Spokespersons: V. Burkert, R. Minehart
Year: 2002
Q^2 range: 1.3 - 1.6
E_beam is not available
Data:
W	epsilon	cos(theta_pi)	phi_pi	dsigma/dOmega	Data errors	Systematic errors
GeV	dimensionless	dimensionless	deg	mcbn/srad	mcbn/srad	mcbn/srad
1.32	0.637	-0.9	15	0.108	0.0808	0.1009
1.32	0.637	-0.9	45	0.281	0.154	0.0567
1.32	0.637	-0.9	75	2.01	0.69	0.6415
1.32	0.637	-0.9	105	0.467	0.163	0.2586
1.32	0.637	-0.9	135	0.699	0.257	0.2682
1.32	0.637	-0.9	165	0.938	0.493	0.1351
1.32	0.637	-0.9	195	0.608	0.242	0.4543
1.32	0.637	-0.9	225	1.63	0.751	0.7109
1.32	0.637	-0.9	255	0.628	0.302	0.2453
1.32	0.637	-0.9	285	0.479	0.22	0.1074
1.32	0.637	-0.9	315	0.631	0.266	0.1327
1.32	0.637	-0.9	345	0.68	0.26	0.062
1.32	0.637	-0.7	15	0.412	0.161	0.0538
1.32	0.637	-0.7	45	0.823	0.232	0.3731
1.32	0.637	-0.7	75	0.836	0.263	0.3324
1.32	0.637	-0.7	105	1.02	0.306	0.0803
1.32	0.637	-0.7	135	1.71	0.535	0.0941
1.32	0.637	-0.7	165	1.11	0.396	0.2332
1.32	0.637	-0.7	195	0.834	0.279	0.1263
1.32	0.637	-0.7	225	0.451	0.206	0.2236
1.32	0.637	-0.7	255	2.66	0.854	0.4761
1.32	0.637	-0.7	285	0.485	0.234	0.0686
1.32	0.637	-0.7	315	2.03	0.654	0.489
1.32	0.637	-0.7	345	1.04	0.373	0.1473
1.32	0.637	-0.5	15	1.17	0.308	0.0903
1.32	0.637	-0.5	45	1.46	0.397	0.3915
1.32	0.637	-0.5	75	3.64	0.882	0.8022
1.32	0.637	-0.5	105	1.57	0.473	0.1316
1.32	0.637	-0.5	135	1.95	0.684	0.2849
1.32	0.637	-0.5	165	1.32	0.447	0.2223
1.32	0.637	-0.5	195	0.876	0.279	0.1806
1.32	0.637	-0.5	225	1.52	0.631	0.2375
1.32	0.637	-0.5	255	1.67	0.547	0.4488
1.32	0.637	-0.5	285	2.54	0.716	0.1531
1.32	0.637	-0.5	315	1.31	0.335	0.1391
1.32	0.637	-0.5	345	0.982	0.345	0.1841
1.32	0.637	-0.3	15	1.53	0.377	0.2419
1.32	0.637	-0.3	45	0.913	0.221	0.4543
1.32	0.637	-0.3	75	1.48	0.418	0.2261
1.32	0.637	-0.3	105	1.83	0.544	0.1031
1.32	0.637	-0.3	135	1.22	0.524	0.2811
1.32	0.637	-0.3	165	0.712	0.257	0.407
1.32	0.637	-0.3	195	1.7	0.571	0.3727
1.32	0.637	-0.3	225	0.824	0.375	0.5149
1.32	0.637	-0.3	255	2.24	0.678	0.2279
1.32	0.637	-0.3	285	1.34	0.404	0.1706
1.32	0.637	-0.3	315	2.18	0.541	0.3882
1.32	0.637	-0.3	345	1.21	0.342	0.0996
1.32	0.637	-0.1	15	0.949	0.285	0.0738
1.32	0.637	-0.1	45	1.65	0.453	0.2324
1.32	0.637	-0.1	75	1.96	0.516	0.1969
1.32	0.637	-0.1	105	2.11	0.574	0.234
1.32	0.637	-0.1	135	0.638	0.31	0.0766
1.32	0.637	-0.1	165	3.38	1.46	1.3773
1.32	0.637	-0.1	195	0.496	0.243	0.077
1.32	0.637	-0.1	225	4.1	1.24	0.9057
1.32	0.637	-0.1	255	4.5	1.2	0.7433
1.32	0.637	-0.1	285	4.05	0.905	0.2558
1.32	0.637	-0.1	315	2.01	0.477	0.3371
1.32	0.637	-0.1	345	1.2	0.339	0.2216
1.32	0.637	0.1	15	1.33	0.367	0.1504
1.32	0.637	0.1	45	1.58	0.411	0.3617
1.32	0.637	0.1	75	3.71	0.884	0.8754
1.32	0.637	0.1	105	2.59	0.73	0.1416
1.32	0.637	0.1	135	1.84	0.721	0.3686
1.32	0.637	0.1	165	0.639	0.317	0.2874
1.32	0.637	0.1	195	1.5	0.59	0.3527
1.32	0.637	0.1	225	2.04	0.68	1.1097
1.32	0.637	0.1	255	1.91	0.552	0.1675
1.32	0.637	0.1	285	2.14	0.545	0.1975
1.32	0.637	0.1	315	1.57	0.377	0.1031
1.32	0.637	0.1	345	2.44	0.634	0.5706
1.32	0.637	0.3	15	0.633	0.187	0.1498
1.32	0.637	0.3	45	1.23	0.343	0.1138
1.32	0.637	0.3	75	0.958	0.294	0.1482
1.32	0.637	0.3	105	3.37	0.905	0.6376
1.32	0.637	0.3	135	3.79	1.3	0.7447
1.32	0.637	0.3	165	0.576	0.27	0.4464
1.32	0.637	0.3	195	1.57	0.609	0.4895
1.32	0.637	0.3	225	3.44	1.46	0.8201
1.32	0.637	0.3	255	2.05	0.68	0.376
1.32	0.637	0.3	285	1.37	0.352	0.1914
1.32	0.637	0.3	315	1.77	0.451	0.2367
1.32	0.637	0.3	345	1.44	0.38	0.1636
1.32	0.637	0.5	15	0.582	0.218	0.0159
1.32	0.637	0.5	45	1.96	0.494	0.3152
1.32	0.637	0.5	75	1.43	0.426	0.2687
1.32	0.637	0.5	105	0.868	0.301	0.2004
1.32	0.637	0.5	135	1.18	0.494	0.4507
1.32	0.637	0.5	165	1.69	0.68	0.242
1.32	0.637	0.5	195	2.33	1.02	0.7948
1.32	0.637	0.5	225	1.92	0.78	0.7266
1.32	0.637	0.5	255	0.921	0.333	0.2586
1.32	0.637	0.5	285	1.53	0.444	0.1571
1.32	0.637	0.5	315	1.05	0.334	0.196
1.32	0.637	0.5	345	1.63	0.482	0.0896
1.32	0.637	0.7	15	0.551	0.208	0.3791
1.32	0.637	0.7	45	1.54	0.492	0.2894
1.32	0.637	0.7	75	1.17	0.447	0.1598
1.32	0.637	0.7	105	0.745	0.303	0.2953
1.32	0.637	0.7	135	1.17	0.507	0.255
1.32	0.637	0.7	165	1.82	0.773	0.5394
1.32	0.637	0.7	195	0.853	0.298	0.762
1.32	0.637	0.7	225	0.978	0.41	0.1137
1.32	0.637	0.7	255	1.72	0.566	0.3634
1.32	0.637	0.7	285	1.34	0.464	0.2258
1.32	0.637	0.7	315	0.723	0.241	0.1427
1.32	0.637	0.7	345	0.961	0.326	0.1082
1.32	0.637	0.9	15	0.687	0.328	0.1483
1.32	0.637	0.9	45	0.383	0.164	0.11
1.32	0.637	0.9	75	0.438	0.168	0.2805
1.32	0.637	0.9	105	0.713	0.297	0.2751
1.32	0.637	0.9	135	1.33	0.704	0.2283
1.32	0.637	0.9	165	0.319	0.167	0.5133
1.32	0.637	0.9	195	1.76	0.766	0.4888
1.32	0.637	0.9	225	2.68	1.39	0.9104
1.32	0.637	0.9	255	0.434	0.177	0.9646
1.32	0.637	0.9	285	1.08	0.529	1.0403
1.32	0.637	0.9	315	0.941	0.36	0.192
1.32	0.637	0.9	345	0.527	0.283	0.2452
Measurement E9M43
Title: E-89-037 Electroproduction of the P33(1232) Resonance
Spokespersons: V. Burkert, R. Minehart
Year: 2002
Q^2 range: 1.3 - 1.6
E_beam is not available
Data:
W	epsilon	cos(theta_pi)	phi_pi	dsigma/dOmega	Data errors	Systematic errors
GeV	dimensionless	dimensionless	deg	mcbn/srad	mcbn/srad	mcbn/srad
1.34	0.625	-0.9	15	0.134	0.0737	0.1579
1.34	0.625	-0.9	45	0.205	0.13	0.0781
1.34	0.625	-0.9	75	0.538	0.28	0.0962
1.34	0.625	-0.9	105	0.268	0.171	0.2466
1.34	0.625	-0.9	135	1.33	0.666	0.3153
1.34	0.625	-0.9	165	1.1	0.61	0.3381
1.34	0.625	-0.9	195	0.365	0.221	0.0499
1.34	0.625	-0.9	225	0.236	0.118	0.2019
1.34	0.625	-0.9	255	0.137	0.0781	0.0782
1.34	0.625	-0.9	285	0.554	0.213	0.0732
1.34	0.625	-0.9	315	1.07	0.477	0.4013
1.34	0.625	-0.9	345	0.482	0.22	0.3601
1.34	0.625	-0.7	15	1.08	0.362	0.1662
1.34	0.625	-0.7	45	0.721	0.244	0.1147
1.34	0.625	-0.7	75	0.71	0.231	0.3651
1.34	0.625	-0.7	105	0.451	0.221	0.1004
1.34	0.625	-0.7	135	0.722	0.29	0.8984
1.34	0.625	-0.7	165	0.488	0.228	0.26
1.34	0.625	-0.7	195	0.79	0.322	0.2016
1.34	0.625	-0.7	225	0.502	0.189	0.1426
1.34	0.625	-0.7	255	0.955	0.293	0.4677
1.34	0.625	-0.7	285	1.16	0.394	0.1791
1.34	0.625	-0.7	315	0.714	0.236	0.3284
1.34	0.625	-0.7	345	0.262	0.139	0.1469
1.34	0.625	-0.5	15	1.6	0.488	0.451
1.34	0.625	-0.5	45	0.461	0.144	0.2345
1.34	0.625	-0.5	75	3.1	0.86	0.7751
1.34	0.625	-0.5	105	1.54	0.508	0.1993
1.34	0.625	-0.5	135	1.88	0.788	0.4298
1.34	0.625	-0.5	165	0.494	0.241	0.5241
1.34	0.625	-0.5	195	0.759	0.262	0.3269
1.34	0.625	-0.5	225	1.02	0.458	0.1115
1.34	0.625	-0.5	255	1.8	0.662	0.3068
1.34	0.625	-0.5	285	1.23	0.527	0.3656
1.34	0.625	-0.5	315	2.3	0.584	0.4137
1.34	0.625	-0.5	345	1.05	0.369	0.2161
1.34	0.625	-0.3	15	1.19	0.366	0.1204
1.34	0.625	-0.3	45	1.06	0.298	0.073
1.34	0.625	-0.3	75	3.23	0.87	0.1919
1.34	0.625	-0.3	105	3.39	1.19	0.9696
1.34	0.625	-0.3	135	1.68	0.883	0.4739
1.34	0.625	-0.3	165	2.63	1.02	0.7335
1.34	0.625	-0.3	195	1.24	0.461	0.1826
1.34	0.625	-0.3	225	2.78	1.13	0.8176
1.34	0.625	-0.3	255	1.42	0.5	0.2998
1.34	0.625	-0.3	285	1.78	0.472	0.1315
1.34	0.625	-0.3	315	1.68	0.438	0.2604
1.34	0.625	-0.3	345	0.633	0.236	0.0341
1.34	0.625	-0.1	15	0.561	0.171	0.083
1.34	0.625	-0.1	45	1.46	0.384	0.2314
1.34	0.625	-0.1	75	0.947	0.303	0.1971
1.34	0.625	-0.1	105	2.12	0.603	0.1626
1.34	0.625	-0.1	135	2.48	0.954	0.5772
1.34	0.625	-0.1	165	1.98	0.676	0.5601
